"component","iteration","target_singular_value","left_rayleigh_singular_value","right_rayleigh_singular_value","cross_singular_value","left_relative_estimate_change","right_relative_estimate_change","left_relative_residual","right_relative_residual","max_relative_residual","convergence_conditions_met","consecutive_converged_checkpoints"
1,1,269.874732755818,250.724402408092,247.16510492083,247.16510492083,NA,NA,0.043703503011416,0.170318363073255,0.170318363073255,FALSE,0
1,100,269.874732755818,250.990591299882,250.990591268945,250.990591268946,0.00106167923517936,0.0154774532163049,5.84563087987886e-06,1.57006514985803e-05,1.57006514985803e-05,FALSE,0
1,200,269.874732755818,250.99059130489,250.99059130489,250.99059130489,1.99545997579762e-11,1.43211265169423e-10,1.01425593049739e-09,2.64530631930045e-09,2.64530631930045e-09,FALSE,0
1,300,269.874732755818,250.99059130489,250.990591304891,250.99059130489,2.26476293654202e-16,2.15152478971492e-15,1.80670504848186e-13,4.70239365871296e-13,4.70239365871296e-13,FALSE,0
1,400,269.874732755818,250.99059130489,250.990591304889,250.99059130489,2.26476293654202e-16,4.52952587308402e-15,1.24663256415209e-15,5.72048094621612e-15,5.72048094621612e-15,FALSE,0
1,500,269.874732755818,250.99059130489,250.990591304889,250.99059130489,0,0,1.24787246496275e-15,5.72097975295164e-15,5.72097975295164e-15,TRUE,1
1,600,269.874732755818,250.99059130489,250.990591304889,250.99059130489,0,0,1.24787246496275e-15,5.72097975295164e-15,5.72097975295164e-15,TRUE,2
1,700,269.874732755818,250.99059130489,250.990591304889,250.99059130489,0,0,1.24787246496275e-15,5.72097975295164e-15,5.72097975295164e-15,TRUE,3
2,1,102.864557553445,94.1516771296859,89.0034659021307,89.0034659021308,NA,NA,0.168643958130985,0.345009313437057,0.345009313437057,FALSE,0
2,100,102.864557553445,94.394278224413,89.9777902601965,89.9777902601965,0.00257670497353907,0.0109470383899116,0.157811943958496,0.317139813473975,0.317139813473975,FALSE,0
2,200,102.864557553445,94.6078746835443,90.8259424295329,90.8259424295329,0.00226281150880268,0.00942623915172541,0.147824700007907,0.291569054659166,0.291569054659166,FALSE,0
2,300,102.864557553445,94.7943570227839,91.5542956969828,91.5542956969827,0.00197110800621347,0.00801922058793856,0.138705525767362,0.26838671686346,0.26838671686346,FALSE,0
2,400,102.864557553445,94.9575829698363,92.1786715121534,92.1786715121535,0.00172189518636786,0.00681973260148466,0.130371117623406,0.247392128056114,0.247392128056114,FALSE,0
2,500,102.864557553445,95.1008413907169,92.7134601418609,92.713460141861,0.00150865698557359,0.00580165260503855,0.122745649129745,0.228392810817452,0.228392810817452,FALSE,0
2,600,102.864557553445,95.2269326389151,93.1714961376784,93.1714961376785,0.00132586890246485,0.00494033978579376,0.115760284312866,0.211206656323223,0.211206656323223,FALSE,0
