"component","eigenvalue","singular_value"
1,3318.44563526913,57.6059513875878
2,1125.25082228993,33.5447584920496
3,863.939803686203,29.3928529354706
4,780.523190796581,27.9378451351671
5,614.077120201913,24.7805794968946
6,506.116597932752,22.4970353142976
7,437.451028254042,20.9153299819544
