"component","eigenvalue","singular_value"
1,5608.47127838842,74.8897274556959
2,1627.17845880196,40.3383001476507
3,1390.08724437835,37.2838737844976
4,876.505167087639,29.6058299510019
5,826.107581231459,28.7420872803535
6,756.007179185428,27.4955847216499
7,707.0844617717,26.5910598091107
