"community","community_size","breadth_mean","breadth_q25","breadth_median","breadth_q75","activity_mean","activity_q25","activity_median","activity_q75","average_binary_cosine_similarity","jackknife_se","ci_lower_95","ci_upper_95"
1,224,238.209821428571,132,208,303,6861.08482142857,1345.75,4080.5,8766,0.0720176295195388,0.00294159551663803,0.0662522082498438,0.0777830507892339
2,73,725.931506849315,456,613,947,15360.2054794521,6711,10836,22326,0.246388848548312,0.00831238962949491,0.230096864249038,0.262680832847586
3,68,550.308823529412,298.5,471,622.75,20618.5588235294,7392.25,15833.5,28386,0.191323666998613,0.00802065378445671,0.175603474448613,0.207043859548613
4,62,579.274193548387,370,488,615.25,18804.064516129,6091.5,11717.5,24830.25,0.189239244103261,0.00839755341961644,0.172780341842562,0.20569814636396
5,35,1096,680.5,992,1390.5,24541.1142857143,9310,15214,29703,0.283976063765435,0.0148632904188268,0.254844549852775,0.313107577678094
6,33,1052.27272727273,632,929,1398,13468.1212121212,6229,9102,18167,0.267633220510379,0.0157141240978252,0.236834103230049,0.29843233779071
7,16,2240.9375,1577.75,2153.5,2515.5,39671.4375,25245.5,34308,50652.75,0.439572581424996,0.0204648641033842,0.399462184833856,0.479682978016136
