movie_id,title,intro,year,region,inferred_type,language,main_genre,all_genres,festival_name,festival_class,length
6534248,"无敌破坏王 / Wreck-It Ralph
                             / 破坏王拉尔夫 / 破坏王大冒险
                        
[可播放]",2012-11-02(美国) / 2012-11-06(中国大陆) / 约翰·C·赖利 / 萨拉·西尔弗曼 / 杰克·麦克布瑞尔 / 简·林奇 / 艾伦·图代克 / 敏迪·卡灵 / 乔·洛·特鲁格里奥 / 艾德·奥尼尔 / 丹尼斯·海斯伯特 / 伊迪·麦克勒格 / 雷蒙德·S·佩尔西 / 杰斯·哈梅尔 / 瑞秋·哈里斯 / 斯盖拉·阿斯丁 / 亚当·卡罗拉 / 霍拉提奥·桑斯 / 莫里斯·拉马奇 / 斯戴芬妮·斯考特 / 约翰·迪·马吉欧 / 瑞奇·摩尔 / 凯蒂·洛斯 / 贾米·埃曼 / 乔西·特立尼达 / 辛贝·沃克 / 塔克·吉莫尔 / 布兰登·斯考特 / 蒂姆·梅尔滕斯 / 凯文·迪特斯 / 杰洛·里佛斯 / 马丁·贾维斯 / 布莱恩·克辛格 / 罗杰·克莱格·史密斯 / 菲尔·约翰斯顿 / 鲁本·兰登 / 凯尔·赫伯特 / 洁米·斯贝勒·罗伯茨 / 尼克·格里姆肖 / 胡军 / 谢娜 / 斯科特·门维尔 / 美国 / 瑞奇·摩尔 / 101分钟 / 无敌破坏王 / 喜剧 / 动画 / 奇幻 / 冒险 / 菲尔·约翰斯顿 Phil Johnston / 珍妮弗·李 Jennifer Lee / 瑞奇·摩尔 Rich Moore / 吉姆·里尔顿 Jim Reardon / 约翰·C·赖利 John C. Reilly / 山姆·J·莱文 Sam J. Levine / 贾里德·斯特恩 Jared Stern / 英语,2012,USA,Animation,English,2Animation,"['Comedy', '2Animation', 'Fantasy', '1Adventure']",,,101.0
6536180,"黑暗面 / La cara oculta
                             / 镜中人 / The Hidden Face
                        
[可播放]",2011-09-16(西班牙) / 基姆·古铁雷斯 / 克拉拉·拉戈 / 玛蒂娜·加西亚 / 亚历山德拉·斯图尔特 / 玛利亚·罗德里格斯 / 玛瑟拉·玛 / 汉姆贝托·多拉多 / 胡安·巴普蒂斯塔 / 哥伦比亚 / 西班牙 / www.lacaraoculta.es / 安德烈斯·拜斯 / 97分钟 / 黑暗面 / 剧情 / 悬疑 / 惊悚 / 安德雷斯·拜兹 Andrés Baiz / 哈特姆·科莱切 Hatem Khraiche / 西班牙语,2011,,Movie,Spanish,2Thriller,"['Drama', 'Mystery', '2Thriller']",,,97.0
6537486,"登堂入室 / Dans la maison
                             / 偷恋隔篱妈(港) / 在屋内",2012-10-10(法国) / 法布莱斯·鲁奇尼 / 恩斯特·吴默埃 / 克里斯汀·斯科特·托马斯 / 艾玛纽尔·塞尼耶 / 德尼·梅诺谢 / 巴斯蒂安·乌盖托 / 让-弗朗索瓦·巴尔梅 / 友兰达·梦露 / 让娜·比蒂诺娃 / 麦赫迪·麦斯卡尔 / 法国 / www.danslamaison-lefilm.com / 弗朗索瓦·欧容 / 105分钟 / 登堂入室 / 剧情 / 悬疑 / 胡安·梅约加 Juan Mayorga / 弗朗索瓦·欧容 François Ozon / 法语,2012,France,Movie,French,Mystery,"['Drama', 'Mystery']",,,105.0
6537500,"速度与激情6 / Furious 6
                             / 狂野时速6(港) / 玩命关头6(台)
                        
[可播放]",2013-05-24(美国) / 2013-07-26(中国大陆) / 范·迪塞尔 / 保罗·沃克 / 道恩·强森 / 乔丹娜·布鲁斯特 / 米歇尔·罗德里格兹 / 泰瑞斯·吉布森 / 姜成镐 / 盖尔·加朵 / 卢达克里斯 / 卢克·伊万斯 / 埃尔莎·帕塔奇 / 吉娜·卡拉诺 / 克拉拉·佩吉特 / 金·柯尔德 / 乔·塔斯利姆 / 杰森·斯坦森 / 托尔·林德哈特 / 谢伊·惠格姆 / 瑞塔·奥拉 / 约翰·奥提兹 / 罗薇娜·戴蒙德 / 大卫·阿贾拉 / 杰森·索普 / 美国 / 林诣彬 / 130分钟 / 131分钟(加长版) / 速度与激情6 / 动作 / 犯罪 / 克里斯·摩根 Chris Morgan / 盖瑞·斯科特·汤普森 Gary Scott Thompson / 英语 / 俄语 / 西班牙语 / 印度尼西亚语 / 丹麦语 / 粤语,2013,USA,Movie,Cantonese,Action,"['Action', 'Crime']",,,130.0
6538866,"极速车王 / Ford v Ferrari
                             / 极速之王 / 极速传奇：褔特决战法拉利(港)
                        
[可播放]",2019-08-30(特柳赖德电影节) / 2019-11-15(美国) / 2020-08-07(中国大陆) / 马特·达蒙 / 克里斯蒂安·贝尔 / 乔什·卢卡斯 / 乔·博恩瑟 / 崔西·莱茨 / 诺亚·尤佩 / 玛丽萨·佩特罗 / 凯特瑞娜·巴尔夫 / 雷·迈克金农 / 约翰·约瑟夫·菲尔德 / 华莱士·朗翰 / 乔纳森·拉帕格里拉 / 斯特凡 / 鲁道夫·马丁 / 拉奇兰·布坎南 / 瓦德·霍尔顿 / 肖恩·卡里甘 / 克里斯托弗·达尔加 / 亚当·梅菲尔德 / 乔瓦尼·索罗菲瓦 / 乔·威廉森 / 本杰明·里格比 / 杰克·麦克马伦 / 保罗·福克斯 / 雷莫·吉罗内 / 德鲁·劳施 / 朱利安·米勒 / 艾拉姆·奥里安 / 埃姆利·贝赫什蒂 / 蒂芙妮·伊冯娜·考克斯 / 达林·库珀 / 科拉多·因韦尔尼齐 / 特洛伊·迪林格 / 彼得·阿佩塞拉 / 斯凯勒·马歇尔 / 罗伯塔·斯巴达 / 布蕾迪·拉多娜 / 文森特·迪保罗 / 吉安·弗朗哥·托尔迪 / 阿里安娜·泰辛格 / 扎克·祖布雷纳 / 詹妮尔·麦基 / 埃文·阿诺德 / 加里·西弗斯 / 埃里克·沃里克 / 美国 / www.foxmovies.com/movies/ford-v-ferrari / 詹姆斯·曼高德 / 152分钟 / 极速车王 / 剧情 / 传记 / 运动 / 杰斯·巴特沃斯 Jez Butterworth / 约翰-亨利·巴特沃斯 John-Henry Butterworth / 贾森·凯勒 Jason Keller / 英语 / 意大利语 / 法语 / 日语,2019,USA,Movie,Japanese,2Sports,"['Drama', 'Biography', '2Sports']",特柳赖德电影节,Niche,152.0
6549903,"逃离德黑兰 / Argo
                             / ARGO - 救参任务(港) / 亚果出任务(台)
                        
[可播放]",2012-08-31(特柳赖德电影节) / 2012-10-12(美国) / 本·阿弗莱克 / 布莱恩·科兰斯顿 / 凯尔·钱德勒 / 约翰·古德曼 / 克里·杜瓦尔 / 艾伦·阿金 / 罗利·科奇瑞恩 / 克里斯托弗·邓汉 / 维克多·加博 / 凯瑞·碧许 / 泰特·多诺万 / 克里斯·梅西纳 / 理查德·迪兰 / 汤姆·伦克 / 尤里·沙尔达罗夫 / 艾什莉·伍德 / 克里斯托弗·斯坦利 / 扬·费尔德曼 / 巴赫拉姆·霍斯拉维亚尼 / 希拉·凡德 / 佩姬·梁 / 科比·阿扎利 / 杰克·托帕利安 / 迈克·华莱士 / 吉米·卡特 / Allegra Carpenter / 大卫·苏利文 / 凯利·库兰 / 迈克尔·基耶福 / 拉里·苏利文 / 泰勒·席林 / Ruty Rutenberg / 斯科特·麦克纳里 / 阿德里安娜·巴比欧 / 迈克尔·帕克斯 / 斯科特·安东尼·利特 / 约翰·博伊德 / J.R.卡西亚 / 理查德·坎德 / 鲍勃·冈顿 / 提图斯·维里沃 / 泽利科·伊万内克 / 美国 / argothemovie.warnerbros.com / 本·阿弗莱克 / 120分钟 / 129分钟(加长版) / 逃离德黑兰 / 剧情 / 惊悚 / 历史 / 克里斯·特里奥 Chris Terrio / 约书亚·比尔曼 Joshuah Bearman / 托尼·门德兹 Tony Mendez / 英语 / 波斯语 / 阿拉伯语,2012,USA,Movie,阿拉伯语,2Thriller,"['Drama', '2Thriller', 'History']",特柳赖德电影节,Niche,120.0
6722879,"她 / Her
                             / 触不到的她(港) / 云端情人(台)",2013-10-12(纽约电影节) / 2014-01-10(美国) / 华金·菲尼克斯 / 斯嘉丽·约翰逊 / 艾米·亚当斯 / 鲁妮·玛拉 / 奥利维亚·王尔德 / 斯派克·琼斯 / 琳恩·A·弗里德曼 / 盖布·戈麦斯 / 克里斯·帕拉特 / 梅·林德斯特罗姆 / 比尔·哈德尔 / 克里斯汀·韦格 / 布莱恩·约翰逊 / 马特·莱斯切尔 / 普拉莫德·库马尔 / 史蒂夫·齐西斯 / 格雷茜·普瑞维特 / 波茜娅·道布尔戴 / 斯蒂芬妮·索科琳斯基 / 布莱恩·考克斯 / 里奥·巴里加亚 / 琼·布莱尔 / 塞斯·凯尔 / 李·克里斯蒂安 / 尼科·戴维 / 香农·爱德华兹 / 阿莉娅·珍妮 / 仁·库恩 / 菲奥娜·林克 / 卡罗尔·麦克法登 / 杰里米·拉布 / 劳拉·柯尔孔 / 帕梅拉·罗伊兰斯 / 玛丽安·萨斯塔德·奥特森 / 伊维特·桑德斯 / 卡桑德拉·斯塔尔 / 查克·大卫·威利斯 / 林原惠美 / 山姆·贾格 / 凯瑟琳·波切尔 / Evelyn Edwards / 美国 / www.herthemovie.com / 斯派克·琼斯 / 126分钟 / 她 / 剧情 / 爱情 / 科幻 / 斯派克·琼斯 Spike Jonze / 英语,2013,USA,Movie,English,Sci-Fi,"['Drama', 'Romance', 'Sci-Fi']",纽约电影节,Regional-Global,126.0
6786002,"触不可及 / Intouchables
                             / 闪亮人生(港) / 逆转人生(台)
                        
[可播放]",2011-11-02(法国) / 弗朗索瓦·克鲁塞 / 奥玛·希 / 安娜·勒尼 / 奥德雷·弗勒罗 / 约瑟芬娜·德·摩 / 克洛蒂尔德·莫莱特 / 阿尔芭·贝露琪 / 萨丽马特·卡马特 / 托马·索利韦尔 / 让-弗朗索瓦·凯雷 / 玛丽-洛尔·德库洛 / 安托万·劳伦特 / 弗朗索瓦·卡隆 / Caroline Bourg / 海迪·布奇纳法 / 艾米丽·卡恩 / 多萝特博里埃 / 皮埃尔-罗兰·巴纳隆 / Dominique Daguier / 法国 / 奥利维埃·纳卡什 / 埃里克·托莱达诺 / 112分钟 / 触不可及 / 剧情 / 喜剧 / 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano / 法语,2011,France,Movie,French,Comedy,"['Drama', 'Comedy']",,,112.0
6791750,"起风了 / 風立ちぬ
                             / 风起了(港) / 风起(台)
                        
[可播放]",2013-07-20(日本) / 庵野秀明 / 泷本美织 / 西岛秀俊 / 西村雅彦 / 史蒂夫·阿尔珀特 / 风间杜夫 / 竹下景子 / 志田未来 / 国村隼 / 大竹忍 / 野村万斋 / 玛德琳娜·罗斯·叶恩 / 大卫·考吉尔 / 马丁·肖特 / 威廉姆·H·梅西 / 詹妮弗·格雷 / 伊利亚·伍德 / 曼迪·帕廷金 / 沃纳·赫尔佐格 / 艾米莉·布朗特 / 达伦·克里斯 / 扎克·卡利森 / 约翰·卡拉辛斯基 / 斯坦利·图齐 / 梅·惠特曼 / 约瑟夫·高登-莱维特 / 信太真妃 / 日本 / kazetachinu.jp / 宫崎骏 / 126分钟 / 起风了 / 剧情 / 爱情 / 动画 / 宫崎骏 Hayao Miyazaki / 日语 / 法语 / 德语,2013,Japan,Animation,German,2Animation,"['Drama', 'Romance', '2Animation']",,,126.0
6799191,"搜索
                             / Caught in the Web
                        
[可播放]",2012-07-06(中国大陆) / 高圆圆 / 姚晨 / 赵又廷 / 陈红 / 王学圻 / 王珞丹 / 陈燃 / 张译 / 余皑磊 / 张大礼 / 马维福 / 杨青 / 霍青 / 谭松韵 / 谭飞 / 张帅 / David Peck / Joe Anhalt / 徐德新 / 唐于鸿 / 石佳禾 / 刘国华 / 红鹰 / 常宝华 / 费振翔 / 常远 / 田娃 / 常索妮 / 刘怡妤 / 国文学 / 王仲欣 / 陈飞宏 / 周明汕 / 源唯杰 / 姜永波 / 赵宁宇 / 许承先 / 中国大陆 / 陈凯歌 / 117分钟 / 剧情 / 悬疑 / 陈凯歌 Kaige Chen / 唐大年 Danian Tang / 汉语普通话,2012,Mainland China,Movie,Mandarin,Mystery,"['Drama', 'Mystery']",,,117.0
