movie_id,title,intro,year,region,type,language,main_genre,all_genres
35413042,"怒呛人生 / Beef
                             / 怀恨在心 / 牢骚",2023-04-06(美国) / 史蒂文·元 / 黄阿丽 / 约瑟夫·李 / 扬·马齐诺 / 雷米·霍尔特 / 崔大卫 / 佩蒂·安武 / 阿什利·朴 / 玛丽亚·贝罗 / 贾斯汀·闵 / 安德鲁·桑提诺 / 米娅·塞拉菲诺 / 埃迪·辛 / 提姆·乔 / 伯纳德·怀特 / 凯拉布莱克 / 艾农·斯凯 / 余朝汉 / 吴辛惠 / 彼得·布雷特曼耶 / 布拉德·李·温德 / 红桃 / 罗科·马西希 / Derron Ross / 米娅·切赫 / 杰斯滕·马里康达 / 伊娃·拉·戴尔 / Mark Weiler / Zandy Hartig / 索菲亚·布伊 / 丹·华纳 / 尼卡恩·罗宾逊 / 美国 / 宮崎光代 / 杰克·施莱尔 / 李成真 / 牢骚 / 40分钟 / 怒呛人生 / 剧情 / 喜剧 / 李成真 Sonny Lee / 凯莉·肯珀 Carrie Kemper / 亚历克斯·罗素 / 玛丽·汉洪·阮 / 尼科·古铁雷斯-科夫纳 / 乔安娜·卡洛 / 凯文·罗森 / 简·基昂·弗雷泽 / 爱丽丝·朱 Alice Ju / 英语,2023,USA,,English,Comedy,"['Drama', 'Comedy']"
35372742,"无名
                             / Hidden Blade
                        
[可播放]",2023-01-22(中国大陆) / 梁朝伟 / 王一博 / 周迅 / 黄磊 / 森博之 / 大鹏 / 王传君 / 江疏影 / 张婧仪 / 周生昊 / 董易 / 古川岳史  / 彭广 / 赵左 / 高曙光 / 美浓轮泰史 / 金子浩拓  / 三浦研一 / 吴映 / 李欣 / 徐婧荧 / 佐佐木智大 / 木村顺傑 / 川上和文 / 王华健 / 杨昭月 / 苏阳 / 姚香于 / 刘俊明 / 刘一舟 / 卢泽天 / 于志庆 / 李永飞 / 毛纪明 / 薛宽 / 刘旭 / 韩姝妹 / 夏志卿 / 小柴 / 查理 / 大宝 / 中国大陆 / 程耳 / 128分钟 / 剧情 / 历史 / 悬疑 / 程耳 Er Cheng / 汉语普通话 / 沪语 / 粤语 / 日语,2023,Mainland China,,Japanese,Mystery,"['Drama', 'History', 'Mystery']"
27199894,"超级马力欧兄弟大电影 / The Super Mario Bros. Movie
                             / 超级马里奥兄弟 / 超级玛利欧兄弟电影版(台)",2023-04-05(美国/中国大陆) / 2023-04-27(日本) / 克里斯·帕拉特 / 安雅·泰勒-乔伊 / 查理·戴 / 杰克·布莱克 / 科甘-迈克尔·凯 / 塞斯·罗根 / 弗莱德·阿米森 / 凯文·迈克尔·理查德森 / 朱丽叶·杰勒尼克 / 塞巴斯蒂安·马尼斯科 / 卡里·佩顿 / 查尔斯·马丁内斯 / 杰西卡·迪西可 / 里诺·罗马诺 / 约翰·迪·马吉欧 / 艾瑞克·鲍扎 / 斯科特·门维尔 / 卡洛斯·阿拉斯拉奇 / 雅士利·伯奇 / 雷切尔·巴特拉 / 凯茜·卡瓦蒂妮 / 亚伦·亨德利 / 安迪·赫希 / 菲尔·拉马 / 杰里米·马克斯韦尔 / 埃里克·奥斯蒙德 / 李·肖顿 / 克里·萨莫 / 美国 / 日本 / 亚伦·霍瓦斯 / 迈克尔·杰勒尼克 / 92分钟 / 超级马力欧兄弟大电影 / 喜剧 / 爱情 / 科幻 / 动画 / 奇幻 / 冒险 / 马修·福格尔 Matthew Fogel / 英语,2023,Japan,,English,2Animation,"['Comedy', 'Romance', 'Sci-Fi', '2Animation', 'Fantasy', '1Adventure']"
36021623,"第三次世界大战 / جنگ جهانی سوم
                             / 片场风云 / 片场风暴(台)",2022-09-07(威尼斯电影节) / 莫森·坦纳班德 / 玛莎·海亚齐 / 内达·吉布拉伊利 / 伊朗 / 哈曼·赛耶迪 / 107分钟 / 第三次世界大战 / 剧情 / 犯罪 / 哈曼·赛耶迪 Hooman Seyedi / 阿日安·瓦兹达夫塔里 Arian Vazirdaftari / 阿扎德·贾法里安 Azad Jafarian / 波斯语 / 德语,2022,,,German,Crime,"['Drama', 'Crime']"
35739931,"下一个素熙 / 다음 소희
                             / Next Sohee / 陰影下的她(台)",2022-05-25(戛纳电影节) / 2023-02-08(韩国) / 金时恩 / 裴斗娜 / 崔喜珍 / 宋永世 / 金宇谦 / 韩国 / 郑朱莉 / 134分钟 / 下一个素熙 / 剧情 / 郑朱莉 July Jung / 韩语,2022,South Korea,,Korean,Drama,['Drama']
34941536,"宇宙探索编辑部
                             / 宇宙编辑部的故事 / Journey to the West",2021-10-17(平遥国际影展) / 2023-04-01(中国大陆) / 杨皓宇 / 艾丽娅 / 王一通 / 蒋奇明 / 盛晨晨 / 郭帆 / 龚格尔 / 洛翼云 / 中国大陆 / 孔大山 / 118分钟 / 喜剧 / 科幻 / 孔大山 Dashan Kong / 王一通 Roy / 汉语普通话,2021,Mainland China,,Mandarin,Sci-Fi,"['Comedy', 'Sci-Fi']"
26087471,"俄罗斯方块 / Tetris
                             / 俄罗斯方块：版权之争",2023-03-15(西南偏南电影节) / 2023-03-31(美国网络) / 塔伦·埃哲顿 / 迈尔斯·巴罗 / 尹成植 / 尼基塔·叶甫列莫夫 / 托比·琼斯 / 奥列格·斯特凡 / 罗杰·阿拉姆 / 安东尼·鲍伊 / 古畑新之 / 伊川东吾 / 長渕文音 / 伊戈尔·格拉布佐夫 / 山村宪之介 / 莫约·阿坎德 / 本·迈尔斯 / 马拉·胡夫 / 巴夫·乔希 / 格雷戈·科尔帕克奇 / 索菲娅·莱贝德娃 / 德米特里·沙拉科伊斯 / 列娃·安德烈瓦伊达 / 罗伯·洛克 / 马修·马什 / 阿尔弗雷多·塔瓦雷斯 / 亚伦·沃多沃兹 / 霍莉·伍德豪斯 / 珊侬·杨 / 梅兹·阿特伍德 / 英国 / 美国 / 乔·拜尔德 / 120分钟 / 俄罗斯方块 / 传记 / 惊悚 / 诺亚·平克 Noah Pink / 英语,2023,USA,,English,2Thriller,"['Biography', '2Thriller']"
35519078,"两万种蜜蜂 / 20.000 especies de abejas
                             / 花蜂二万种(港) / 20,000 Species of Bees",2023-02-22(柏林电影节) / 索菲娅·奥特罗 / 帕特里夏·洛佩斯·阿奈斯 / 安·加巴拉因 / 马切洛·卢比奥 / 伊兹亚尔·拉兹卡诺 / 萨拉·科萨尔 / 米格尔·加尔塞斯 / 尤纳克斯·海登 / 西班牙 / 埃斯蒂巴利斯·乌雷索拉·索拉格伦 / 125分钟 / 两万种蜜蜂 / 剧情 / 埃斯蒂巴利斯·乌雷索拉·索拉格伦 Estibaliz Urresola Solaguren / 西班牙语 / 巴斯克语 / 法语,2023,,,French,Drama,['Drama']
35869617,"孩子们 / War Pony
                             / 无依之地(台) / 脱缰少年(港)",2022-05-22(戛纳电影节) / 美国 / 丽莉·吉欧 / 吉娜·甘梅尔 / 115分钟 / 孩子们 / 剧情 / 英语,2022,USA,,English,Drama,['Drama']
35633996,"蓝色长袍 / Le bleu du caftan
                             / 蓝袍下的温柔(港) / The Blue Caftan",2022-05-24(戛纳电影节) / 卢巴纳·阿兹巴尔 / 萨莱·巴克里 / 摩洛哥 / 比利时 / 法国 / 玛丽亚姆·图扎尼 / 118分钟 / 蓝色长袍 / 剧情 / 同性 / 玛丽亚姆·图扎尼 Maryam Touzani / 阿拉伯语,2022,France,,阿拉伯语,1LGBTQ+,"['Drama', '1LGBTQ+']"
35371261,"铃芽之旅 / すずめの戸締まり
                             / 铃芽的门锁 / 铃芽户缔",2022-11-11(日本) / 2023-03-24(中国大陆) / 原菜乃华 / 松村北斗 / 深津绘里 / 染谷将太 / 伊藤沙莉 / 花濑琴音  / 花泽香菜 / 松本白鹦 / 神木隆之介 / 山根馅 / 三浦明里 / 寺川爱美 / 日本 / 新海诚 / 121分钟 / 122分钟(中国大陆) / 铃芽之旅 / 爱情 / 动画 / 奇幻 / 新海诚 Makoto Shinkai / 日语,2022,Japan,,Japanese,2Animation,"['Romance', '2Animation', 'Fantasy']"
26584673,"龙与地下城：侠盗荣耀 / Dungeons & Dragons: Honor Among Thieves
                             / 龙与地下城：盗贼荣耀(台) / 龙与地下城：盗亦有道(港)",2023-03-10(西南偏南电影节) / 2023-03-31(美国/中国大陆) / 克里斯·派恩 / 米歇尔·罗德里格兹 / 雷吉-让·佩吉 / 贾斯蒂斯·史密斯 / 索菲娅·莉莉丝 / 休·格兰特 / 克洛伊·科尔曼 / 黛茜·海德 / 布莱德利·库珀 / 凯尔·希克森 / 斯宾塞·怀尔丁 / 威尔·欧文 / 尼古拉斯·布兰 / 布莱恩·拉金 / 萨拉·阿曼科瓦 / 科林·卡内基 / 丹·普尔 / 伊恩·汉摩尔 / 保罗·巴泽利 / 肯尼斯·克拉德 / 杰森·王 / 海莉·玛丽·艾克斯 / 达伦·肯特 / 菲利普·布罗迪 / 阿皮·普拉特 / 艾德·奥斯蒙德 / 妮娅姆·麦柯马克 / 安东·辛普森-泰迪 / 特雷弗·坎斯瓦兰 / 谢默斯·奥哈拉 / 埃德加·阿布拉姆 / R·F·戴利 / 裘德·希尔 / 大卫·索博洛夫 / 大卫·斯坦博拉 / 约翰·弗朗西斯·戴利 / 索菲亚·埃莱尼 / 美国 / 加拿大 / 约翰·弗朗西斯·戴利 / 乔纳森·戈尔茨坦 / 134分钟 / 龙与地下城：侠盗荣耀 / 动作 / 奇幻 / 冒险 / 乔纳森·戈尔茨坦 Jonathan M. Goldstein / 约翰·弗朗西斯·戴利 John Francis Daley / 迈克尔·吉里奥 Michael Gilio / 克里斯·麦凯 Chris McKay / 英语,2023,USA,,English,Fantasy,"['Action', 'Fantasy', '1Adventure']"
35769236,"鬼灭之刃 锻刀村篇 / 鬼滅の刃 刀鍛冶の里編
                             / 鬼灭之刃 第三季",2023-04-09(日本) / 花江夏树 / 下野纮 / 松冈祯丞 / 鬼头明里 / 宫野真守 / 花泽香菜 / 河西健吾 / 置鲇龙太郎 / 井上和彦 / 日本 / 外崎春雄 / 24分钟 / 鬼灭之刃 锻刀村篇 / 剧情 / 动画 / ufotable / 日语,2023,Japan,,Japanese,2Animation,"['Drama', '2Animation']"
35900179,"无熊之境 / خرس نیست
                             / 无熊 / 伊朗无熊无惧(港)",2022-09-09(威尼斯电影节) / 贾法·帕纳西 / 米娜·卡瓦尼 / 纳赛尔·哈什米 / 巴赫蒂雅·潘哲艾 / 伊朗 / 贾法·帕纳西 / 106分钟 / 无熊之境 / 剧情 / 贾法·帕纳西 Jafar Panahi / 波斯语,2022,,,波斯语,Drama,['Drama']
