movie_id,title,intro,year,region,type,language,main_genre,all_genres
1292501,"鬼玩人 / The Evil Dead
                             / 尸变 / 死亡魔鬼",1981-10-15 / 布鲁斯·坎贝尔 / 艾伦·桑德维斯 / 贝琪·贝克 / 特丽莎缇莉 / 美国 / 山姆·雷米 / 85 分钟 / Germany: 70 分钟(FSK 16 version) / 鬼玩人 / 恐怖 / Sam Raimi / 英语,1981,USA,,English,1Horror,['1Horror']
35410157,一个好人 / A Good Person,2023-03-24(美国) / 弗洛伦丝·皮尤 / 摩根·弗里曼 / 塞莱斯特·奥康纳 / 莫莉·香侬 / 才那扎·乌奇 / 佐伊·利斯特·琼斯 / 妮雪儿·海恩斯 / 托比·奥伍梅尔 / 伊格纳西奥·迪亚兹-西尔弗里奥 / 奥利·格林 / 亚历克斯·沃尔夫 / 布赖恩·罗哈斯 / 瑞安·雷德蒙德 / 西德尼·莫顿 / 迈克·梅嫩德斯 / 德鲁·盖林 / 维克多·克鲁兹 / 杰茜·缪勒 / 雪莉·拉米瑞克 / S·J·索恩 / 朱莉娅·格里尔 / 杰姬·霍夫曼 / 乔丹·波特尔 / 美国 / 扎克·布拉夫 / 129分钟 / 一个好人 / 剧情 / 扎克·布拉夫 Zach Braff / 英语,2023,USA,,English,Drama,['Drama']
35315950,"灌篮高手 / The First Slam Dunk
                             / 灌篮高手电影版 / 灌篮高手：THE FIRST",2022-12-03(日本) / 2023-04-20(中国大陆) / 仲村宗悟 / 笠间淳 / 木村昴 / 神尾晋一郎 / 三宅健太 / 岩崎谅太 / 坂本真绫 / 小林亲弘 / 松田健一郎 / 濑户麻沙美 / 宝龟克寿 / 菅沼芙实彦 / 镰谷悠 / 日本 / 井上雄彦 / 124分钟 / 灌篮高手 / 动画 / 运动 / 井上雄彦 Inoue Takehiko / 日语,2022,Japan,,Japanese,2Animation,"['2Animation', '2Sports']"
35853587,"进击的巨人 最终季 完结篇 前篇 / 進撃の巨人 The Final Season 完結編（前編）
                             / 进击的巨人 最终季 Part.3",2023-03-04(日本) / 梶裕贵 / 石川由依 / 井上麻里奈 / 神谷浩史 / 细谷佳正 / 下野纮 / 三上枝织 / 谷山纪章 / 岛村侑 / 朴璐美 / 子安武人 / 花江夏树 / 佐仓绫音 / 沼仓爱美 / 小野大辅 / 小野贤章 / 斋贺光希 / 日本 / 林祐一郎 / 61分钟 / 进击的巨人 最终季 完结篇 前篇 / 动作 / 动画 / 奇幻 / 濑古浩司 Hiroshi Seko / 谏山创 Hajime Isayama / 日语,2023,Japan,,Japanese,2Animation,"['Action', '2Animation', 'Fantasy']"
30246685,"继承之战 第二季 / Succession Season 2
                             / 继承
                        
[可播放]",2019-08-11(美国) / 布莱恩·考克斯 / 杰瑞米·斯特朗 / 莎拉·斯努克 / 西娅姆·阿巴斯 / 尼可拉斯·博朗 / 基南·卡尔金 / 皮特·弗雷德曼 / 阿兰·卢克 / 马修·麦克费登 / 杨罗布 / 吉恩·史密斯-卡梅隆 / 贾斯汀·卢佩 / 大卫·拉斯彻 / 埃里克·博高森 / 霍利·亨特 / 达格玛拉·多敏齐克 / 德鲁·盖林 / 亚历山大·索科维科夫 / 克里斯·弗尔顿 / 佐伊·温特斯 / 塔丽雅·蒂斯菲尔德 / 阿什利·祖克曼 / 阿里安·穆阿耶德 / 沙莫·阿斯玛尼 / 美国 / 马克·米罗 / 安德里杰·帕瑞克 / 凯文·布瑞 / 继承之战 / 65分钟 / 继承之战 / 剧情 / 杰西·阿姆斯特朗 Jesse Armstrong / 英语,2019,USA,,English,Drama,['Drama']
27044303,"幸福谷 第三季 / Happy Valley Season 3
                             / 幸福谷最终季",2023-01-01(英国) / 莎拉·兰卡夏尔 / 詹姆斯·诺顿 / 希欧布罕·芬内朗 / 里斯·康纳 / 卡尔·戴维斯 / 夏莉·墨菲 / 马克·斯坦利 / 阿米特·沙阿 / 莫莉·温纳德 / 亚力克·塞克雷亚努 / 维森特·富兰克林 / 杰森·梅雷尔斯 / 西蒙·勒纳根 / 乔·阿姆斯特朗 / 康·奥尼尔 / 乔治·科斯蒂安 / 德里克·里德尔 / 娜塔莉·安德森 / 苏珊·林奇 / 杰克·班戴拉 / 奥利弗·亨廷顿 / 安东尼·弗拉纳根 / 艾米丽·巴内特 / 丽娜·马洪尼 / 艾希娅·本尼森 / 里克·沃登 / 凯莉·哈里森 / 沙恩·扎扎 / 丹尼·坎宁安 / 亚历克西斯·普拉特 / 英国 / 帕特里克·哈金斯 / 萨利·温莱特 / 弗格斯·奥布莱恩 / 幸福谷 / 60分钟 / 幸福谷 / 剧情 / 犯罪 / 惊悚 / 萨利·温莱特 Sally Wainwright / 英语,2023,UK,,English,2Thriller,"['Drama', 'Crime', '2Thriller']"
35606498,"鳄鱼莱莱 / Lyle, Lyle, Crocodile
                             / 纽约爱音鳄(港) / 鳄鱼歌王(台)",2022-10-07(美国) / 2023-04-15(中国大陆) / 肖恩·蒙德兹 / 哈维尔·巴登 / 吴恬敏 / 斯科特·麦克纳里 / 温斯洛·费格雷 / 布伦特·吉尔曼 / 萨尔·维斯库索 / 多恩·迪皮塔 / 尤西·丘辟特 / 科拉·林德尔 / 马克·威尔斯 / 林赛·莫泽 / 丹尼·所罗门 / 美国 / 乔什·戈登 / 威尔·斯佩克 / 106分钟 / 107分钟(中国大陆) / 鳄鱼莱莱 / 喜剧 / 动画 / 奇幻 / 歌舞 / 家庭 / 威廉姆·戴维斯 William Davies / 伯纳德·韦伯 / 英语,2022,USA,,English,2Animation,"['Comedy', '2Animation', 'Fantasy', '1Musical', 'Family']"
35587790,"夜枭 / 올빼미
                             / 昼盲神探(台) / 猫头鹰",2022-11-23(韩国) / 柳俊烈 / 柳海真 / 崔武成 / 赵成夏 / 朴明勋 / 金圣喆 / 安恩真 / 尹瑞 / 李柱原 / 金艺恩 / 郑锡元 / 韩国 / 安泰镇 / 118分钟 / 夜枭 / 惊悚 / 古装 / 安泰镇 Tae-jin Ahn / 房秀吟 Soo-in Bang / Gyu-Ri Hyun / 韩语,2022,South Korea,,Korean,2Thriller,"['2Thriller', 'Costume']"
35220828,"哈里斯夫人闯巴黎 / Mrs Harris Goes to Paris
                             / 哈里斯太太去巴黎 / 哈里斯夫人去巴黎",2022-07-15(美国) / 2023-03-31(中国大陆) / 莱丝利·曼维尔 / 伊莎贝尔·于佩尔 / 朗贝尔·维尔森 / 阿尔芭·巴普蒂斯塔 / 卢卡斯·布哈沃 / 艾伦·托马斯 / 罗斯·威廉姆斯 / 詹森·艾萨克 / 安娜·钱斯勒 / 克里斯蒂安·麦凯 / 弗莱迪·福克斯 / 吉莱纳·隆代 / 罗珊妮·杜兰 / Dorottya Ilosvai / 德尔罗伊·阿特金森 / 文森特·马丁 / 彼得·维赫 / 伊戈尔·萨斯兹 / 杰瑞米·惠勒 / 本·阿迪斯 / 佐尔特·帕尔 / 德克兰·汉宁根 / 莎拉·里克曼 / Murányi Panka / 巴纳巴斯·雷蒂 / 巴尼·皮林 / 艾格塔·达瑙 / 巴尔·瓦斯维尔斯 / 英国 / 加拿大 / 法国 / 匈牙利 / 比利时 / 安东尼·法比安 / 115分钟 / 112分钟(中国大陆) / 哈里斯夫人闯巴黎 / 剧情 / 喜剧 / 安东尼·法比安 Anthony Fabian / 卡罗尔·卡特赖特 Carroll Cartwright / 基思·汤普森 Keith Thompson / 奥莉薇亚·黑特理德 Olivia Hetreed / 保罗·加利科 Paul Gallico / 英语 / 法语,2022,USA,,French,Comedy,"['Drama', 'Comedy']"
35268895,"虚构推理 第二季 / 虚構推理 2期
                             / 虚構推理 Season2
                        
[可播放]",2023-01-08(日本) / 鬼头明里 / 宫野真守 / 悠木碧 / 古川慎 / 福圆美里 / 滨田贤二 / 日本 / 后藤圭二 / 24分钟 / 虚构推理 第二季 / 剧情 / 动画 / 悬疑 / 高木登 Noboru Takagi / 日语,2023,Japan,,Japanese,2Animation,"['Drama', '2Animation', 'Mystery']"
