movie_id,title,intro,year,region,type,language,main_genre,all_genres
35372742,"无名
                             / Hidden Blade
                        
[可播放]",2023-01-22(中国大陆) / 梁朝伟 / 王一博 / 周迅 / 黄磊 / 森博之 / 大鹏 / 王传君 / 江疏影 / 张婧仪 / 周生昊 / 董易 / 古川岳史  / 彭广 / 赵左 / 高曙光 / 美浓轮泰史 / 金子浩拓  / 三浦研一 / 吴映 / 李欣 / 徐婧荧 / 佐佐木智大 / 木村顺傑 / 川上和文 / 王华健 / 杨昭月 / 苏阳 / 姚香于 / 刘俊明 / 刘一舟 / 卢泽天 / 于志庆 / 李永飞 / 毛纪明 / 薛宽 / 刘旭 / 韩姝妹 / 夏志卿 / 小柴 / 查理 / 大宝 / 中国大陆 / 程耳 / 128分钟 / 剧情 / 历史 / 悬疑 / 程耳 Er Cheng / 汉语普通话 / 沪语 / 粤语 / 日语,2023,Mainland China,,Japanese,Mystery,"['Drama', 'History', 'Mystery']"
34948595,"脐带
                             / 漫游在蓝色草原 / The Cord of Life
                        
[可播放]",2022-10-25(东京国际电影节) / 2022-12-23(海南岛国际电影节) / 2023-03-18(中国大陆) / 巴德玛 / 伊德尔 / 娜荷芽 / 苏日雅 / 卓拉 / 中国大陆 / 乔思雪 / 96分钟 / 剧情 / 家庭 / 乔思雪 Sixue Qiao / 蒙古语 / 汉语普通话,2022,Mainland China,,Mandarin,Family,"['Drama', 'Family']"
27199894,"超级马力欧兄弟大电影 / The Super Mario Bros. Movie
                             / 超级马里奥兄弟 / 超级玛利欧兄弟电影版(台)",2023-04-05(美国/中国大陆) / 2023-04-27(日本) / 克里斯·帕拉特 / 安雅·泰勒-乔伊 / 查理·戴 / 杰克·布莱克 / 科甘-迈克尔·凯 / 塞斯·罗根 / 弗莱德·阿米森 / 凯文·迈克尔·理查德森 / 朱丽叶·杰勒尼克 / 塞巴斯蒂安·马尼斯科 / 卡里·佩顿 / 查尔斯·马丁内斯 / 杰西卡·迪西可 / 里诺·罗马诺 / 约翰·迪·马吉欧 / 艾瑞克·鲍扎 / 斯科特·门维尔 / 卡洛斯·阿拉斯拉奇 / 雅士利·伯奇 / 雷切尔·巴特拉 / 凯茜·卡瓦蒂妮 / 亚伦·亨德利 / 安迪·赫希 / 菲尔·拉马 / 杰里米·马克斯韦尔 / 埃里克·奥斯蒙德 / 李·肖顿 / 克里·萨莫 / 美国 / 日本 / 亚伦·霍瓦斯 / 迈克尔·杰勒尼克 / 92分钟 / 超级马力欧兄弟大电影 / 喜剧 / 爱情 / 科幻 / 动画 / 奇幻 / 冒险 / 马修·福格尔 Matthew Fogel / 英语,2023,Japan,,English,2Animation,"['Comedy', 'Romance', 'Sci-Fi', '2Animation', 'Fantasy', '1Adventure']"
36021623,"第三次世界大战 / جنگ جهانی سوم
                             / 片场风云 / 片场风暴(台)",2022-09-07(威尼斯电影节) / 莫森·坦纳班德 / 玛莎·海亚齐 / 内达·吉布拉伊利 / 伊朗 / 哈曼·赛耶迪 / 107分钟 / 第三次世界大战 / 剧情 / 犯罪 / 哈曼·赛耶迪 Hooman Seyedi / 阿日安·瓦兹达夫塔里 Arian Vazirdaftari / 阿扎德·贾法里安 Azad Jafarian / 波斯语 / 德语,2022,,,German,Crime,"['Drama', 'Crime']"
35739931,"下一个素熙 / 다음 소희
                             / Next Sohee / 陰影下的她(台)",2022-05-25(戛纳电影节) / 2023-02-08(韩国) / 金时恩 / 裴斗娜 / 崔喜珍 / 宋永世 / 金宇谦 / 韩国 / 郑朱莉 / 134分钟 / 下一个素熙 / 剧情 / 郑朱莉 July Jung / 韩语,2022,South Korea,,Korean,Drama,['Drama']
34941536,"宇宙探索编辑部
                             / 宇宙编辑部的故事 / Journey to the West",2021-10-17(平遥国际影展) / 2023-04-01(中国大陆) / 杨皓宇 / 艾丽娅 / 王一通 / 蒋奇明 / 盛晨晨 / 郭帆 / 龚格尔 / 洛翼云 / 中国大陆 / 孔大山 / 118分钟 / 喜剧 / 科幻 / 孔大山 Dashan Kong / 王一通 Roy / 汉语普通话,2021,Mainland China,,Mandarin,Sci-Fi,"['Comedy', 'Sci-Fi']"
26087471,"俄罗斯方块 / Tetris
                             / 俄罗斯方块：版权之争",2023-03-15(西南偏南电影节) / 2023-03-31(美国网络) / 塔伦·埃哲顿 / 迈尔斯·巴罗 / 尹成植 / 尼基塔·叶甫列莫夫 / 托比·琼斯 / 奥列格·斯特凡 / 罗杰·阿拉姆 / 安东尼·鲍伊 / 古畑新之 / 伊川东吾 / 長渕文音 / 伊戈尔·格拉布佐夫 / 山村宪之介 / 莫约·阿坎德 / 本·迈尔斯 / 马拉·胡夫 / 巴夫·乔希 / 格雷戈·科尔帕克奇 / 索菲娅·莱贝德娃 / 德米特里·沙拉科伊斯 / 列娃·安德烈瓦伊达 / 罗伯·洛克 / 马修·马什 / 阿尔弗雷多·塔瓦雷斯 / 亚伦·沃多沃兹 / 霍莉·伍德豪斯 / 珊侬·杨 / 梅兹·阿特伍德 / 英国 / 美国 / 乔·拜尔德 / 120分钟 / 俄罗斯方块 / 传记 / 惊悚 / 诺亚·平克 Noah Pink / 英语,2023,USA,,English,2Thriller,"['Biography', '2Thriller']"
35519078,"两万种蜜蜂 / 20.000 especies de abejas
                             / 花蜂二万种(港) / 20,000 Species of Bees",2023-02-22(柏林电影节) / 索菲娅·奥特罗 / 帕特里夏·洛佩斯·阿奈斯 / 安·加巴拉因 / 马切洛·卢比奥 / 伊兹亚尔·拉兹卡诺 / 萨拉·科萨尔 / 米格尔·加尔塞斯 / 尤纳克斯·海登 / 西班牙 / 埃斯蒂巴利斯·乌雷索拉·索拉格伦 / 125分钟 / 两万种蜜蜂 / 剧情 / 埃斯蒂巴利斯·乌雷索拉·索拉格伦 Estibaliz Urresola Solaguren / 西班牙语 / 巴斯克语 / 法语,2023,,,French,Drama,['Drama']
35633996,"蓝色长袍 / Le bleu du caftan
                             / 蓝袍下的温柔(港) / The Blue Caftan",2022-05-24(戛纳电影节) / 卢巴纳·阿兹巴尔 / 萨莱·巴克里 / 摩洛哥 / 比利时 / 法国 / 玛丽亚姆·图扎尼 / 118分钟 / 蓝色长袍 / 剧情 / 同性 / 玛丽亚姆·图扎尼 Maryam Touzani / 阿拉伯语,2022,France,,阿拉伯语,1LGBTQ+,"['Drama', '1LGBTQ+']"
35521951,"杀死福顺 / 길복순
                             / 格杀福顺 / Kill Boksoon",2023-02-18(柏林国际电影节) / 2023-03-31(韩国网络) / 全度妍 / 李絮 / 薛景求 / 黄政民 / 具教焕 / 金诗雅 / 法希姆·法兹利 / 金成伍 / Willis Chung / 尹敬浩 / 安德烈亚斯·弗龙克 / 李妍 / 崔秉默 / 韩国 / 边圣铉 / 137分钟 / 杀死福顺 / 动作 / 惊悚 / 卞成贤 Sung-hyun Byun / 韩语,2023,South Korea,,Korean,2Thriller,"['Action', '2Thriller']"
