"component","eigenvalue","singular_value"
1,62996.2769235783,250.99059130489
2,9302.23419846416,96.4480906937206
3,6806.54828850374,82.5018077893069
4,5866.70602276063,76.5944255331981
5,5020.85120356764,70.8579649973639
6,3953.6088706768,62.87772952864
7,3637.93347772609,60.3152839479853
